Y	X1	X2	X3	X4	X5
100.9715932	110.6689447	191.5407993	0.035714962	0.163620719	110.6309843
112.146916	105.8706438	243.3895492	0.152640149	0.106896898	110.4889403
104.3260489	111.5135642	62.96695847	0.132667951	0.094934994	110.9833226
108.5016205	96.00360822	195.0344859	0.050644387	0.235669289	109.6514872
96.11516502	100.5438178	71.00400558	0.006774482	0.274923594	109.5986186
106.3803237	100.9839451	277.3766948	0.02369093	0.088837543	110.0388255
92.81555952	103.8784419	243.5598526	0.000302918	0.160091577	110.1937662
113.3298663	108.8012504	221.1620333	0.935500811	0.219021882	110.8795708
102.8918593	107.6939953	212.9796634	1.302828524	0.316011243	110.4447136
114.0049247	105.9060221	233.7622315	0.299973886	0.169542918	109.7264
94.63697186	107.5252705	173.7077653	0.021178124	0.158085994	110.3227519
111.4428238	102.9982883	216.4400877	0.037314838	0.135115804	109.5702838
105.0202444	105.3301995	163.8557473	0.289124253	0.163016843	109.7318127
88.41419206	114.4864236	165.1862478	0.008662067	0.14522759	111.2189871
99.81211615	109.5304479	121.453074	0.088139759	0.256789665	110.8389527
87.03448833	108.7498371	335.4734004	0.002011027	0.238312371	109.9677581
106.9500174	102.1371968	126.4866582	0.087759574	0.205099041	109.6070306
110.5252569	109.2280342	322.8010317	0.082993551	0.097947725	110.0599802
83.67311191	111.4563019	137.3347177	0.001553019	0.267388977	110.2005795
102.5173226	109.536085	304.8185783	0.023646044	0.096660012	110.5745521
108.1522236	95.81320092	164.1165109	0.014570215	0.244235839	109.30803
103.6504767	99.70563471	275.3884768	0.00783153	0.262592609	109.4250825
111.4834412	106.1368467	201.3383505	1.696477949	0.226716626	110.2725287
123.1040522	95.47518442	217.7099977	0.780169442	0.199064459	108.8689276
100.5872371	106.9971571	268.7112449	0.046441136	0.243701881	109.9278207
96.44817882	117.2304074	272.515828	0.027461368	0.168975873	111.2665785
105.4046351	109.6683855	247.6312487	0.050508333	0.195318566	110.1355922
107.6394485	102.7008198	122.6451014	0.093623594	0.127112046	109.5072552
119.6806979	93.15920608	179.5054931	0.336576377	0.188007295	109.0429399
110.9345344	94.74518828	271.6364708	0.096466049	0.292361371	109.4735243
104.8678109	102.6693731	282.348339	0.051442158	0.080457625	109.7799347
105.8733676	100.8227493	109.480939	0.031292542	0.175168378	109.9753961
95.95294587	116.9337483	219.923125	0.057210873	0.20797903	110.7389288
125.1698384	101.5443313	409.9216359	0.270551254	0.003028973	109.9988607
93.63810661	111.3146688	464.3570655	0.059069974	0.153045136	110.6433709
110.7852544	98.8005662	91.17997352	0.158132496	0.165677517	109.6071638
108.5595448	112.769082	259.9429971	0.557714203	0.176863747	110.8162236
113.2232361	104.357091	191.8646702	1.701136195	0.270866124	109.5894533
99.9274562	99.82170122	237.0379134	0.039479637	0.32325909	109.7101774
110.344021	103.6896869	406.2605469	0.069096016	0.087841453	110.2778165
